timestamp,joints,joint angle
23/06/11 18:55:25.037,"[4, 3, 2]",162.30604357884164
23/06/11 18:55:25.037,"[3, 2, 1]",176.5985121440095
23/06/11 18:55:25.038,"[2, 1, 0]",159.95592066988448
23/06/11 18:55:25.038,"[8, 7, 6]",176.49809254499868
23/06/11 18:55:25.038,"[12, 11, 10]",178.80550004661958
23/06/11 18:55:25.038,"[16, 15, 14]",177.60764600268126
23/06/11 18:55:25.038,"[20, 19, 18]",177.44680829978594
23/06/11 18:55:25.332,"[4, 3, 2]",162.36763218757588
23/06/11 18:55:25.332,"[3, 2, 1]",177.31802951183906
23/06/11 18:55:25.332,"[2, 1, 0]",155.1090370239257
23/06/11 18:55:25.332,"[8, 7, 6]",177.8918528999456
23/06/11 18:55:25.332,"[12, 11, 10]",177.11464851928562
23/06/11 18:55:25.332,"[16, 15, 14]",179.95216069729474
23/06/11 18:55:25.332,"[20, 19, 18]",177.3978895004697
23/06/11 18:55:25.402,"[4, 3, 2]",161.91870960124484
23/06/11 18:55:25.402,"[3, 2, 1]",173.42740284690657
23/06/11 18:55:25.403,"[2, 1, 0]",162.62885366625244
23/06/11 18:55:25.403,"[8, 7, 6]",177.65537077231645
23/06/11 18:55:25.403,"[12, 11, 10]",178.55494568013955
23/06/11 18:55:25.403,"[16, 15, 14]",178.09691011212345
23/06/11 18:55:25.403,"[20, 19, 18]",177.3398638357065
23/06/11 18:55:25.498,"[4, 3, 2]",163.38798777850528
23/06/11 18:55:25.498,"[3, 2, 1]",173.56409403896035
23/06/11 18:55:25.498,"[2, 1, 0]",162.59920541605044
23/06/11 18:55:25.498,"[8, 7, 6]",176.9271142102658
23/06/11 18:55:25.499,"[12, 11, 10]",177.9900457106886
23/06/11 18:55:25.499,"[16, 15, 14]",178.68830876846516
23/06/11 18:55:25.499,"[20, 19, 18]",177.85859262010314
23/06/11 18:55:25.563,"[4, 3, 2]",165.86819540640823
23/06/11 18:55:25.563,"[3, 2, 1]",171.3374934364058
23/06/11 18:55:25.563,"[2, 1, 0]",164.47670039883639
23/06/11 18:55:25.563,"[8, 7, 6]",177.3895378476625
23/06/11 18:55:25.564,"[12, 11, 10]",178.36061171482186
23/06/11 18:55:25.564,"[16, 15, 14]",178.5341164541158
23/06/11 18:55:25.564,"[20, 19, 18]",177.92878263884657
23/06/11 18:55:25.631,"[4, 3, 2]",170.01704978361957
23/06/11 18:55:25.631,"[3, 2, 1]",172.05214067988092
23/06/11 18:55:25.631,"[2, 1, 0]",164.6683111376657
23/06/11 18:55:25.631,"[8, 7, 6]",176.6567946456153
23/06/11 18:55:25.632,"[12, 11, 10]",177.93452997526552
23/06/11 18:55:25.632,"[16, 15, 14]",178.92624011516895
23/06/11 18:55:25.632,"[20, 19, 18]",177.9272488717017
23/06/11 18:55:25.695,"[4, 3, 2]",168.4196901497118
23/06/11 18:55:25.695,"[3, 2, 1]",171.18322705638894
23/06/11 18:55:25.695,"[2, 1, 0]",163.5991916410674
23/06/11 18:55:25.695,"[8, 7, 6]",177.062926366188
23/06/11 18:55:25.695,"[12, 11, 10]",178.62347889552447
23/06/11 18:55:25.696,"[16, 15, 14]",178.73296596174367
23/06/11 18:55:25.696,"[20, 19, 18]",178.32639241507317
23/06/11 18:55:25.765,"[4, 3, 2]",165.70845400772532
23/06/11 18:55:25.765,"[3, 2, 1]",172.9849184860062
23/06/11 18:55:25.765,"[2, 1, 0]",162.98808767430592
23/06/11 18:55:25.765,"[8, 7, 6]",176.4278795981976
23/06/11 18:55:25.765,"[12, 11, 10]",177.97823115309941
23/06/11 18:55:25.766,"[16, 15, 14]",178.68706208361888
23/06/11 18:55:25.766,"[20, 19, 18]",177.96072878640916
23/06/11 18:55:25.828,"[4, 3, 2]",163.49047313060663
23/06/11 18:55:25.828,"[3, 2, 1]",173.85962469742176
23/06/11 18:55:25.828,"[2, 1, 0]",164.38568931553772
23/06/11 18:55:25.828,"[8, 7, 6]",176.8307023614265
23/06/11 18:55:25.828,"[12, 11, 10]",177.71774260056344
23/06/11 18:55:25.829,"[16, 15, 14]",178.77982212655772
23/06/11 18:55:25.829,"[20, 19, 18]",178.12050232681187
23/06/11 18:55:25.897,"[4, 3, 2]",166.71931013894883
23/06/11 18:55:25.898,"[3, 2, 1]",175.1011997128786
23/06/11 18:55:25.898,"[2, 1, 0]",163.71600763373178
23/06/11 18:55:25.898,"[8, 7, 6]",177.08390859792067
23/06/11 18:55:25.898,"[12, 11, 10]",177.81976380332034
23/06/11 18:55:25.898,"[16, 15, 14]",178.7161533453208
23/06/11 18:55:25.898,"[20, 19, 18]",178.25458114035385
23/06/11 18:55:25.962,"[4, 3, 2]",164.590931500666
23/06/11 18:55:25.962,"[3, 2, 1]",175.1290245769341
23/06/11 18:55:25.962,"[2, 1, 0]",163.24393760014925
23/06/11 18:55:25.962,"[8, 7, 6]",176.78287084465663
23/06/11 18:55:25.962,"[12, 11, 10]",177.97823316550677
23/06/11 18:55:25.962,"[16, 15, 14]",178.2392846137447
23/06/11 18:55:25.963,"[20, 19, 18]",177.97853765345866
23/06/11 18:55:26.032,"[4, 3, 2]",164.37625360671072
23/06/11 18:55:26.032,"[3, 2, 1]",175.5805295066225
23/06/11 18:55:26.033,"[2, 1, 0]",163.2646896498187
23/06/11 18:55:26.033,"[8, 7, 6]",176.68696556978512
23/06/11 18:55:26.033,"[12, 11, 10]",177.74591200773412
23/06/11 18:55:26.033,"[16, 15, 14]",178.6985189931326
23/06/11 18:55:26.033,"[20, 19, 18]",178.26411033469296
23/06/11 18:55:26.134,"[4, 3, 2]",166.8808252984538
23/06/11 18:55:26.134,"[3, 2, 1]",175.222360056573
23/06/11 18:55:26.134,"[2, 1, 0]",162.46671405189622
23/06/11 18:55:26.134,"[8, 7, 6]",176.4118275257537
23/06/11 18:55:26.134,"[12, 11, 10]",177.81457444144394
23/06/11 18:55:26.134,"[16, 15, 14]",178.51409764801193
23/06/11 18:55:26.134,"[20, 19, 18]",177.8083118444841
23/06/11 18:55:26.230,"[4, 3, 2]",168.0977221006795
23/06/11 18:55:26.230,"[3, 2, 1]",174.9720534293783
23/06/11 18:55:26.230,"[2, 1, 0]",161.8164442372776
23/06/11 18:55:26.230,"[8, 7, 6]",176.92288915768745
23/06/11 18:55:26.230,"[12, 11, 10]",178.4792865711289
23/06/11 18:55:26.230,"[16, 15, 14]",177.97370423341982
