timestamp,joints,joint angle
23/06/11 17:32:58.142,"[4, 3, 2]",176.36398545980688
23/06/11 17:32:58.143,"[3, 2, 1]",178.8895047311276
23/06/11 17:32:58.143,"[2, 1, 0]",166.72964896004808
23/06/11 17:32:58.143,"[8, 7, 6]",144.10295604412832
23/06/11 17:32:58.143,"[12, 11, 10]",153.40040809962377
23/06/11 17:32:58.144,"[16, 15, 14]",146.88858526617176
23/06/11 17:32:58.144,"[20, 19, 18]",143.85399844754576
23/06/11 17:32:59.481,"[4, 3, 2]",179.35832933241673
23/06/11 17:32:59.482,"[3, 2, 1]",179.5263447725519
23/06/11 17:32:59.482,"[2, 1, 0]",162.36713882018185
23/06/11 17:32:59.482,"[8, 7, 6]",146.79105620585946
23/06/11 17:32:59.482,"[12, 11, 10]",153.00156186318006
23/06/11 17:32:59.483,"[16, 15, 14]",157.86365079990946
23/06/11 17:32:59.483,"[20, 19, 18]",161.234855022355
23/06/11 17:32:59.580,"[4, 3, 2]",179.0757704372004
23/06/11 17:32:59.580,"[3, 2, 1]",178.31952995653307
23/06/11 17:32:59.580,"[2, 1, 0]",162.13676482719805
23/06/11 17:32:59.580,"[8, 7, 6]",147.46649639127278
23/06/11 17:32:59.581,"[12, 11, 10]",155.9891175710507
23/06/11 17:32:59.581,"[16, 15, 14]",153.6201112944615
23/06/11 17:32:59.581,"[20, 19, 18]",157.71217666862
23/06/11 17:32:59.651,"[4, 3, 2]",175.56443647378103
23/06/11 17:32:59.651,"[3, 2, 1]",177.2184598573981
23/06/11 17:32:59.651,"[2, 1, 0]",162.5927399445201
23/06/11 17:32:59.652,"[8, 7, 6]",148.42136602892782
23/06/11 17:32:59.652,"[12, 11, 10]",159.40970672510835
23/06/11 17:32:59.652,"[16, 15, 14]",152.86022541163655
23/06/11 17:32:59.652,"[20, 19, 18]",154.7615792388296
23/06/11 17:32:59.722,"[4, 3, 2]",175.33543903214806
23/06/11 17:32:59.722,"[3, 2, 1]",176.25910750964093
23/06/11 17:32:59.722,"[2, 1, 0]",161.95674116730635
23/06/11 17:32:59.723,"[8, 7, 6]",147.155953412535
23/06/11 17:32:59.723,"[12, 11, 10]",157.00219868519363
23/06/11 17:32:59.723,"[16, 15, 14]",153.1905010470735
23/06/11 17:32:59.723,"[20, 19, 18]",157.3698363079607
23/06/11 17:32:59.790,"[4, 3, 2]",179.3704483802701
23/06/11 17:32:59.791,"[3, 2, 1]",177.72621379227067
23/06/11 17:32:59.791,"[2, 1, 0]",160.81004341764273
23/06/11 17:32:59.791,"[8, 7, 6]",149.25621912716028
23/06/11 17:32:59.791,"[12, 11, 10]",156.14451013907785
23/06/11 17:32:59.792,"[16, 15, 14]",154.7874587100506
23/06/11 17:32:59.792,"[20, 19, 18]",158.1648024699952
23/06/11 17:32:59.862,"[4, 3, 2]",179.85925573253377
23/06/11 17:32:59.862,"[3, 2, 1]",179.22240726175244
23/06/11 17:32:59.863,"[2, 1, 0]",157.54775675942847
23/06/11 17:32:59.863,"[8, 7, 6]",147.8605491344986
23/06/11 17:32:59.863,"[12, 11, 10]",154.34185750401662
23/06/11 17:32:59.863,"[16, 15, 14]",155.02792133304595
23/06/11 17:32:59.864,"[20, 19, 18]",161.52701795334826
23/06/11 17:32:59.967,"[4, 3, 2]",177.65470643399752
23/06/11 17:32:59.967,"[3, 2, 1]",179.42971901003764
23/06/11 17:32:59.968,"[2, 1, 0]",159.60428005561607
23/06/11 17:32:59.968,"[8, 7, 6]",143.9952032835884
23/06/11 17:32:59.968,"[12, 11, 10]",154.66093150800006
23/06/11 17:32:59.968,"[16, 15, 14]",155.3034075961352
23/06/11 17:32:59.969,"[20, 19, 18]",161.68265710437987
23/06/11 17:33:00.065,"[4, 3, 2]",177.32687328419422
23/06/11 17:33:00.066,"[3, 2, 1]",177.91489292773073
23/06/11 17:33:00.066,"[2, 1, 0]",161.32168417784462
23/06/11 17:33:00.066,"[8, 7, 6]",146.00642627114865
23/06/11 17:33:00.066,"[12, 11, 10]",155.3403694840661
23/06/11 17:33:00.067,"[16, 15, 14]",155.89343490961025
23/06/11 17:33:00.067,"[20, 19, 18]",159.8589235214836
23/06/11 17:33:00.133,"[4, 3, 2]",179.34819954934568
23/06/11 17:33:00.133,"[3, 2, 1]",178.6185180686359
23/06/11 17:33:00.133,"[2, 1, 0]",162.1137492281615
23/06/11 17:33:00.133,"[8, 7, 6]",145.1491481599699
23/06/11 17:33:00.134,"[12, 11, 10]",151.95451462277387
23/06/11 17:33:00.134,"[16, 15, 14]",151.91907444076207
23/06/11 17:33:00.134,"[20, 19, 18]",158.26930196613725
23/06/11 17:33:00.202,"[4, 3, 2]",177.83237039776412
23/06/11 17:33:00.203,"[3, 2, 1]",177.40006277576555
23/06/11 17:33:00.203,"[2, 1, 0]",161.0278681148816
23/06/11 17:33:00.203,"[8, 7, 6]",148.78973388882198
23/06/11 17:33:00.204,"[12, 11, 10]",157.82896681379222
23/06/11 17:33:00.204,"[16, 15, 14]",157.39478038062288
23/06/11 17:33:00.204,"[20, 19, 18]",163.3834911271593
23/06/11 17:33:00.272,"[4, 3, 2]",178.8409142339264
23/06/11 17:33:00.273,"[3, 2, 1]",178.67716091142694
23/06/11 17:33:00.273,"[2, 1, 0]",165.26921916392106
23/06/11 17:33:00.273,"[8, 7, 6]",153.57922173873706
23/06/11 17:33:00.273,"[12, 11, 10]",160.02485356389673
23/06/11 17:33:00.274,"[16, 15, 14]",153.61339003303277
23/06/11 17:33:00.274,"[20, 19, 18]",158.807649555332
23/06/11 17:33:00.341,"[4, 3, 2]",178.9879145549662
23/06/11 17:33:00.341,"[3, 2, 1]",177.66319036773166
23/06/11 17:33:00.341,"[2, 1, 0]",161.84535024880205
23/06/11 17:33:00.341,"[8, 7, 6]",149.5821096165049
23/06/11 17:33:00.342,"[12, 11, 10]",159.33949688154388
23/06/11 17:33:00.342,"[16, 15, 14]",152.78101247859874
23/06/11 17:33:00.342,"[20, 19, 18]",155.7426804603826
23/06/11 17:33:00.408,"[4, 3, 2]",178.96671660690097
23/06/11 17:33:00.408,"[3, 2, 1]",178.83628649170504
23/06/11 17:33:00.409,"[2, 1, 0]",157.8536921891876
23/06/11 17:33:00.409,"[8, 7, 6]",149.51145735284737
23/06/11 17:33:00.409,"[12, 11, 10]",156.56096661533635
23/06/11 17:33:00.409,"[16, 15, 14]",151.20077111753506
23/06/11 17:33:00.410,"[20, 19, 18]",152.2556343724255
