time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
12:25:20.024,0,-0.02,0,0,-0.01,0,-0.01,0
12:25:20.100,-0.01,0,-0.01,0,0,0,-0.01,0
12:25:20.113,0,0,0.01,0,0,-0.02,0,0
12:25:20.123,0,0,-0.02,0,0,0,0,0.01
12:25:20.135,0,-0.01,0,-0.02,0,-0.01,0,-0.01
12:25:20.183,-0.01,0,0,0,-0.02,0,0,0
12:25:20.193,-0.01,0,0,0,-0.02,0,0,0
12:25:20.207,0,0,-0.01,0,0,0,0,0
12:25:20.221,0.01,0,0,0,0,0,-0.01,-0.01
12:25:20.234,-0.01,0,0,0,-0.01,0,-0.01,-0.01
12:25:20.246,-0.01,0,0,0.01,0,-0.01,-0.01,0
12:25:20.294,0,0.01,0.01,0,0,-0.01,0,0
12:25:20.310,0,0,0,0,-0.01,0,0,-0.01
12:25:20.325,-0.01,0,0,0,0,0,-0.01,0
12:25:20.341,0.01,0,0,-0.02,0,0,0,0
12:25:20.352,0,-0.02,-0.02,0,0,0,0.01,0
12:25:20.399,0,0,0,0,-0.01,0,0,0
12:25:20.412,0,0,0,-0.01,-0.01,0,0,0
12:25:20.422,0,-0.01,0,0,-0.01,-0.01,0,0
12:25:20.438,0,0,-0.01,0.01,-0.01,0,-0.03,0
12:25:20.450,0,0,-0.01,0.01,-0.01,0,-0.03,0
12:25:20.463,-0.01,0,0.01,-0.01,0.02,0,0,0
12:25:20.513,-0.01,0,-0.02,0,0,0,0,-0.01
12:25:20.523,0,-0.01,0,0,-0.01,0,0,0.01
12:25:20.533,0,0,-0.01,-0.01,0,0,0,0
12:25:20.545,0,0,0,-0.01,0,-0.01,0,-0.01
12:25:20.564,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,0
12:25:20.576,0.01,-0.01,0,-0.01,-0.01,0,0,0
12:25:20.619,0,-0.01,0.07,0.01,-0.01,-0.01,-0.05,0
12:25:20.632,0,-0.01,0.07,0.01,-0.01,-0.01,-0.05,0
12:25:20.644,0,-0.01,-0.03,-0.01,0,0,0,0
12:25:20.656,0,-0.01,-0.03,-0.01,0,0,0,0
12:25:20.667,0,-0.01,-0.02,0,-0.01,-0.03,0,0.01
12:25:20.678,0,0.01,-0.04,0.01,0,0.01,0.02,0
12:25:20.723,0,0,-0.01,0,-0.01,0,0.01,0.01
12:25:20.735,0,0,-0.01,0,-0.01,0,0.01,0.01
12:25:20.750,0,-0.01,0.01,-0.02,0,0.01,0,0
12:25:20.763,-0.02,0,0,-0.01,0,0,0,0
12:25:20.774,-0.02,0,0,-0.01,0,0,0,0
12:25:20.784,0,0,-0.02,0,0,-0.01,0,-0.01
12:25:20.795,0,-0.02,0,0.01,0,0,0,-0.02
12:25:20.844,0,0,0,0,-0.01,0.01,0,0
12:25:20.858,0,0,-0.01,-0.01,0,0,0,-0.01
12:25:20.870,0,0,-0.04,0,0,0,0,0
12:25:20.883,0,0,-0.01,0,-0.01,0,0,0
12:25:20.896,0,0,-0.01,0,-0.01,0,0,0
12:25:20.966,-0.01,0,0.08,0,0,0,0,0
12:25:20.982,-0.01,-0.01,-0.07,0,0,-0.01,-0.01,0
12:25:21.000,0,-0.02,0,-0.02,0,0,0.01,-0.01
12:25:21.065,-0.01,-0.02,-0.01,0,-0.01,0.01,-0.01,0
12:25:21.076,-0.01,-0.02,-0.01,0,-0.01,0.01,-0.01,0
12:25:21.087,0,0,0.01,0,0,-0.02,-0.01,0
12:25:21.102,0,-0.01,-0.02,0,-0.01,0,0,-0.01
12:25:21.113,0,-0.01,-0.02,0,-0.01,0,0,-0.01
12:25:21.123,0,0.01,-0.01,0,0,-0.01,0,0
12:25:21.174,0,-0.01,0,0,-0.01,0,0.01,-0.01
12:25:21.187,0,0,0,-0.01,0,0,-0.01,0.01
12:25:21.198,0,0,0,-0.01,0,0,-0.01,0.01
12:25:21.209,-0.01,-0.01,-0.01,0,0,-0.02,0,-0.01
12:25:21.220,-0.01,0,-0.01,0,0,0,-0.01,0
12:25:21.232,0,-0.01,0,0,0,0.01,0,0
12:25:21.280,0,-0.01,-0.05,-0.01,0,-0.01,0,0
12:25:21.292,0,-0.01,0,0,-0.01,0,0,0
12:25:21.304,0,0,0,-0.01,-0.01,-0.02,0,0
12:25:21.314,0,0,0,-0.01,-0.01,-0.02,0,0
12:25:21.323,0,0,-0.01,0,0,0,0,0
12:25:21.334,0,0,-0.01,0,-0.01,0,-0.01,0
12:25:21.377,0,0,0,0,0,0,-0.01,0
12:25:21.392,0.01,-0.01,0,0,-0.01,-0.01,0,0
12:25:21.403,0,-0.01,-0.01,-0.01,-0.01,0,0,0
12:25:21.415,0,-0.01,-0.01,-0.01,-0.01,0,0,0
