New EMG times,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8,thumb,index,middle,ring,little
35:10.300,-0.02,0,0.06,0,-0.01,-0.08,-0.02,-0.01,153.742470966608,143.143843649945,147.381630362805,157.006046355018,157.006046355018
35:10.313,-0.05,-0.01,0.06,0.01,-0.02,-0.25,-0.05,-0.02,155.297080637189,144.441636202915,147.454467231684,157.907371338792,157.907371338792
35:10.322,-0.05,-0.01,0.06,0.01,-0.02,-0.25,-0.05,-0.02,156.851690307783,145.739428755885,147.527304100566,158.80869632258,158.80869632258
35:10.334,0.25,0.07,-0.05,0,-0.03,-0.19,-0.31,-0.09,157.351884344127,146.320723571138,148.241928255549,159.909353105904,159.909353105904
35:10.343,0.25,0.07,-0.05,0,-0.03,-0.19,-0.31,-0.09,157.852078380471,146.90201838639,148.956552410527,161.010009889229,161.010009889229
35:10.357,-0.06,-0.05,-0.04,0,-0.03,-0.01,0.05,0.03,158.3522724168,147.483313201636,149.671176565491,162.110666672554,162.110666672554
35:10.366,-0.09,0,0,-0.02,-0.04,-0.26,-0.09,-0.01,158.852466453129,148.064608016866,150.38580072044,163.211323455878,163.211323455878
35:10.408,-0.01,-0.01,-0.02,-0.03,0.02,-0.12,0.09,0.02,159.754578085573,148.945546147952,150.96955319876,163.561103636417,163.561103636417
35:10.418,-0.01,-0.01,-0.02,-0.03,0.02,-0.12,0.09,0.02,160.656689718016,149.826484279038,151.553305677087,163.910883816956,163.910883816956
35:10.429,0,-0.01,-0.06,0,0.01,0.52,-0.02,0,160.955025758965,150.138284153618,151.688988966973,164.029309628912,164.029309628912
35:10.441,-0.07,-0.01,0.04,0.03,0.02,0.12,0.08,-0.03,161.253361799914,150.450084028205,151.824672256858,164.147735440871,164.147735440871
35:10.453,-0.01,0.02,0.05,0,-0.04,-0.13,0,0.01,161.551697840863,150.761883902785,151.960355546744,164.266161252828,164.266161252828
35:10.463,-0.01,0.02,0.05,0,-0.04,-0.13,0,0.01,161.850033881805,151.073683777373,152.096038836629,164.384587064786,164.384587064786
35:10.475,-0.19,-0.02,-0.06,-0.04,-0.07,-0.41,-0.06,-0.02,162.148369922752,151.385483651959,152.231722126517,164.503012876742,179.693449748221
35:10.518,0.06,0.01,0,0.03,0.01,0.02,0.05,0.02,162.40138774196,151.605633508778,152.212311652274,164.363485482107,164.363485482107
