New EMG times,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8,thumb,index+middle,ring+little
35:19.477,-0.03,0.26,0,0.02,0.13,0,0.03,-0.04,97.060411224491,147.744321199117,165.135300479251
35:19.486,-0.03,0.26,0,0.02,0.13,0,0.03,-0.04,97.1880513083852,147.785865809726,165.267467204634
35:19.498,0.05,-0.16,0,-0.02,-0.04,-0.02,0.11,0.02,97.3156913922794,147.827410420333,165.399633930014
35:19.508,0.05,-0.16,0,-0.02,-0.04,-0.02,0.11,0.02,97.44333147617,147.868955030941,165.531800655397
35:19.518,-0.04,-0.18,-0.05,0,-0.1,0.12,0.06,-0.02,97.5709715600629,147.910499641548,169.951149903399
35:19.561,-0.06,-0.03,0.01,0,0.12,-0.04,0,0,97.5476985403916,147.882712160464,165.506703288167
35:19.576,0.01,0.4,0.04,0.04,-0.02,0.1,-0.02,0.02,97.5244255207199,147.854924679378,165.349439195554
35:19.589,0.01,0.4,0.04,0.04,-0.02,0.1,-0.02,0.02,97.5011525010486,147.827137198293,165.19217510294
35:19.601,0.11,-0.09,-0.1,-0.07,-0.2,0.09,0,0,97.4778794813774,147.799349717208,165.034911010327
35:19.612,-0.06,0.09,0.02,-0.05,-0.13,0.07,0.06,-0.02,97.608072187938,147.875528473092,165.119973671738
35:19.622,-0.01,-0.04,-0.01,0.02,-0.05,0.06,0.07,0,97.7382648944995,147.951707228976,165.205036333148
35:19.660,-0.03,0.02,-0.03,-0.04,-0.13,-0.07,-0.01,0,97.74232531429,148.035711018104,165.255419655281
35:19.671,0,0.16,-0.05,-0.04,-0.1,-0.06,-0.01,-0.01,97.7463857340805,148.119714807232,165.305802977413
35:19.681,-0.04,-0.1,0,0.01,0,-0.1,-0.05,-0.02,97.7504461538709,148.203718596356,165.356186299545
35:19.690,-0.04,-0.1,0,0.01,0,-0.1,-0.05,-0.02,97.7545065736615,148.287722385482,165.406569621677
35:19.701,-0.04,-0.21,-0.03,0,0.13,0.07,-0.08,0,97.7585669934522,148.371726174611,165.456952943809
35:19.709,-0.04,-0.21,-0.03,0,0.13,0.07,-0.08,0,97.7626274132427,148.455729963736,165.50733626594
35:19.719,0.01,-0.22,0.04,0,0.13,0.02,-0.03,0,97.5953743109712,148.321531172558,165.484365343875
35:19.727,-0.02,0.02,0.02,-0.02,-0.21,-0.02,-0.06,-0.02,97.4281212087008,148.187332381382,165.461394421812
35:19.737,-0.03,0.02,-0.02,-0.01,-0.07,0.21,0,0,97.2608681064266,148.053133590202,165.438423499747
35:19.778,0,0.24,0.13,0,0.05,-0.06,0.01,-0.02,97.4526130811391,147.931140951237,165.322616271635
35:19.790,-0.03,0.04,-0.02,0,0.1,-0.08,0.06,0,97.6443580558625,147.809148312273,165.206809043524
35:19.799,0.01,0.14,0,0.02,-0.07,0,0.03,0,97.8361030305714,147.687155673309,165.091001815414
35:19.808,0.01,0.14,0,0.02,-0.07,0,0.03,0,98.0278480052875,147.565163034345,164.975194587299
35:19.818,0,-0.04,-0.06,-0.07,-0.27,-0.07,-0.03,-0.01,97.8016213721494,147.892009664507,165.221511700925
35:19.830,0,-0.04,-0.06,-0.07,-0.27,-0.07,-0.03,-0.01,97.5753947390149,148.218856294665,165.467828814551
35:19.842,-0.01,-0.04,-0.01,0.01,-0.02,-0.18,0.06,0.01,97.3491681058695,148.545702924839,165.714145928177
35:19.883,-0.03,0,0.05,0.03,0.06,0.12,0,0,97.8380859708777,148.629226638005,165.703646498031
35:19.891,-0.03,0,0.05,0.03,0.06,0.12,0,0,98.3270038358824,148.71275035117,165.693147067885
35:19.901,0,-0.12,-0.01,-0.02,-0.05,-0.06,0.03,0.01,98.3346289520812,148.756906174312,165.706066410388
35:19.910,0,-0.14,-0.04,-0.01,0,0.18,-0.15,0,98.34225406828,148.801061997454,165.718985752891
35:19.920,0,-0.18,0,0.01,-0.06,-0.01,0.03,0,98.3498791844788,148.845217820597,165.731905095394
35:19.931,0,0.1,0,-0.07,-0.25,-0.07,0.01,0.02,98.3575043006776,148.889373643739,165.744824437897
35:19.940,-0.02,0.07,0.13,-0.09,-0.09,-0.47,-0.21,-0.04,98.3651294168765,148.933529466882,165.757743780399
35:19.949,-0.02,0.07,0.13,-0.09,-0.09,-0.47,-0.21,-0.04,98.3727545330752,148.977685290024,170.182450816384
35:20.001,0,0.18,-0.02,-0.01,-0.02,-0.34,-0.04,-0.01,98.2593582973877,148.720357419216,165.309557919645
35:20.011,0,0.18,-0.02,-0.01,-0.02,-0.34,-0.04,-0.01,98.1459620617024,148.463029548406,164.848452716367
35:20.022,-0.01,-0.01,0,0.01,0.08,0.11,0.04,0,98.0325658260135,148.205701677604,164.387347513111
35:20.034,0,0.01,-0.03,0,-0.02,-0.08,-0.04,0,97.9191695903282,147.948373806807,163.92624230987
35:20.044,-0.01,-0.04,-0.07,0,-0.13,-0.09,0,0,98.1163265159848,147.696386798523,164.019125836345
35:20.054,-0.01,0.05,0.04,0.1,0.09,0.27,0.08,-0.01,98.3134834416451,147.444399790238,164.11200936282
35:20.063,0,-0.07,-0.01,-0.02,0.02,0.02,-0.02,-0.01,98.5106403673017,147.192412781958,164.204892889293
35:20.103,0,0.13,0.03,0,-0.03,-0.78,-0.09,0,98.2143055177294,147.21089517803,164.070831829218
35:20.110,0,0.13,0.03,0,-0.03,-0.78,-0.09,0,97.9179706681607,147.229377574101,163.936770769145
35:20.121,0.01,-0.07,-0.02,-0.05,0.02,0.09,-0.03,0,97.621635818592,147.247859970172,163.802709709074
35:20.130,0.01,-0.07,-0.02,-0.05,0.02,0.09,-0.03,0,97.3253009690234,147.266342366243,163.668648649002
35:20.138,-0.01,-0.08,-0.15,-0.02,0.01,0.33,0.02,0,97.2549098151085,147.21199358607,163.600243129434
35:20.147,-0.01,0,-0.06,-0.03,0.03,0.13,0.01,0.01,97.1845186611936,147.157644805895,163.531837609864
35:20.156,-0.01,0.13,0.01,-0.01,-0.18,0.04,0.03,0.01,97.1141275072769,147.10329602572,163.463432090293
35:20.166,-0.01,0.13,0.01,-0.01,-0.18,0.04,0.03,0.01,97.0437363533592,147.048947245544,163.395026570724
35:20.175,0.01,-0.01,0.04,0,0.06,-0.04,-0.07,0,96.9733451994425,146.994598465369,163.326621051156
35:20.215,-0.01,-0.08,0,0,0.05,0.07,0.04,-0.02,97.3286685424973,147.059433472237,163.455191328321
35:20.226,0.01,-0.01,0,-0.03,-0.06,0.47,0.03,0,97.6839918855476,147.124268479105,163.583761605485
35:20.235,-0.01,-0.14,-0.06,-0.06,-0.01,-0.53,-0.05,0,98.0393152285978,147.189103485973,163.712331882649
35:20.244,-0.01,-0.14,-0.06,-0.06,-0.01,-0.53,-0.05,0,98.3946385716481,147.25393849284,163.840902159809
35:20.253,-0.01,-0.14,-0.06,-0.06,-0.01,-0.53,-0.05,0,98.8761891075774,147.177691464014,163.494506818908
35:20.263,0,-0.08,0.08,0,0.03,0.39,-0.01,0,99.3577396434921,147.101444435187,163.148111478011
35:20.277,0.01,0.26,0.04,0,-0.02,0.03,0.09,0.02,99.8392901794214,147.025197406361,162.80171613711
35:20.285,0,0,0.08,0.03,0.06,0.07,0.03,0,100.32084071534,146.948950377534,162.455320796213
35:20.341,0,0,-0.05,0.05,0.06,0,0.06,-0.02,100.11842571677,147.080244592632,162.387015256274
35:20.353,0.01,-0.08,0,-0.01,0.04,-0.08,0.08,0,99.9160107182033,147.211538807729,162.318709716337
35:20.362,0.01,-0.08,0,-0.01,0.04,-0.08,0.08,0,99.7135957196333,147.342833022828,162.250404176399
35:20.374,-0.01,-0.01,0.02,-0.01,0.03,0.06,0.04,0.01,99.5111807210633,147.474127237926,162.18209863646
35:20.386,0,-0.03,0.01,0,0.01,-0.49,-0.01,-0.01,99.3087657224969,147.605421453022,162.113793096523
35:20.436,0,-0.02,-0.04,-0.01,0.03,0.1,0.05,-0.01,99.1063507239274,147.736715668121,166.513881133202
35:20.446,0,-0.02,-0.04,-0.01,0.03,0.1,0.05,-0.01,100.713000006159,147.523993196663,161.960218666789
35:20.455,0,-0.03,0,0.01,0.11,0.04,0.03,0.03,102.319649288489,147.311270725209,161.874949776986
35:20.465,-0.01,0.02,0.01,-0.01,-0.1,0.12,0.07,-0.02,103.926298570761,147.098548253754,161.789680887188
35:20.476,-0.01,-0.03,0,-0.01,-0.07,-0.13,-0.13,0,105.532947853033,146.885825782298,161.704411997391
35:20.485,-0.01,-0.03,0,-0.01,-0.07,-0.13,-0.13,0,107.139597135305,146.673103310845,161.619143107595
35:20.495,-0.01,-0.06,-0.13,-0.03,-0.03,0.13,-0.03,0,108.746246417635,146.460380839385,161.533874217796
35:20.537,-0.02,-0.03,0,0.01,0.05,0.05,-0.01,-0.02,110.352895699898,146.247658367929,167.501601943485
35:20.547,-0.02,-0.03,0,0.01,0.05,0.05,-0.01,-0.02,110.196279907155,146.201104072728,161.332961434997
35:20.556,-0.02,-0.03,0,0.01,0.05,0.05,-0.01,-0.02,110.039664114403,146.154549777526,161.217317541992
35:20.565,0,0.04,0.02,-0.03,0,0.44,-0.01,-0.02,109.883048321652,146.107995482323,161.101673648987
35:20.575,0,0.04,0.02,-0.03,0,0.44,-0.01,-0.02,109.726432528903,146.061441187123,160.986029755983
35:20.585,0,0.01,-0.01,-0.03,-0.02,-0.02,-0.02,0.01,109.569816736155,146.014886891921,160.870385862974
35:20.593,0,-0.01,0.16,0.05,0.06,0.38,-0.03,0,109.413200943414,145.96833259672,160.754741969971
35:20.602,0,-0.01,0.16,0.05,0.06,0.38,-0.03,0,109.256585150666,145.921778301518,160.639098076968
35:20.610,-0.01,0.01,0.02,-0.07,-0.06,-0.17,0.03,-0.01,109.408077715492,145.762069860977,160.449585926301
35:20.651,0,0,0.01,0.02,-0.1,-0.54,-0.04,-0.01,109.559570280322,145.602361420433,160.260073775633
35:20.661,0,-0.02,-0.02,0.01,-0.03,-0.49,0.04,0,110.180901337328,145.782768193822,160.225898707556
35:20.670,0,-0.02,-0.02,0.01,-0.03,-0.49,0.04,0,110.802232394315,145.963174967201,160.191723639478
35:20.682,0,0,0.01,-0.02,-0.08,-0.07,0.03,-0.03,111.423563451332,146.143581740593,160.1575485714
35:20.691,0,0,0.01,-0.02,-0.08,-0.07,0.03,-0.03,112.044894508334,146.323988513983,160.123373503322
35:20.701,0,-0.04,-0.06,-0.05,-0.07,0.56,0,-0.01,112.666225565306,146.504395287368,160.089198435246
35:20.709,0,-0.04,-0.06,-0.05,-0.07,0.56,0,-0.01,113.437971217878,146.384771438253,159.587134423167
35:20.720,0,0,-0.01,-0.05,-0.05,-0.05,-0.07,-0.01,114.209716870442,146.265147589139,159.085070411093
35:20.772,0,-0.01,-0.01,-0.06,-0.03,0.04,-0.08,-0.03,114.918962293814,146.283230857878,159.034618441823
35:20.782,-0.01,0.01,-0.02,0.02,0,-0.04,-0.01,0.01,115.628207717207,146.301314126617,158.984166472554
35:20.790,-0.01,0.01,-0.02,0.02,0,-0.04,-0.01,0.01,116.337453140586,146.319397395356,158.933714503285
35:20.801,0,-0.02,-0.04,-0.03,0.03,-0.07,0.01,-0.01,117.04669856395,146.337480664096,158.883262534016
35:20.810,0,-0.02,-0.04,-0.03,0.03,-0.07,0.01,-0.01,117.755943987329,146.355563932836,158.832810564748
35:20.819,0,-0.01,0.02,0.03,-0.03,-0.4,0.03,0.02,118.35079039933,146.181557180262,158.679494753098
35:20.828,0,-0.01,-0.02,-0.01,0.02,-0.07,0.02,0,118.945636811331,146.007550427689,158.526178941449
35:20.870,0,0,-0.04,-0.03,0.01,0.04,0,0,119.22708169603,145.919321425987,158.385334894319
35:20.880,-0.03,0.01,0.04,0,0,-0.03,-0.29,-0.03,119.508526580728,145.831092424286,158.244490847195
35:20.889,-0.03,0.01,0.04,0,0,-0.03,-0.29,-0.03,119.789971465427,145.742863422586,158.103646800071
35:20.900,-0.01,0,-0.03,-0.01,-0.02,0.01,0.07,-0.04,120.071416350132,145.65463442088,157.962802752936
35:20.908,-0.01,0,-0.03,-0.01,-0.02,0.01,0.07,-0.04,120.352861234831,145.566405419179,157.821958705808
35:20.919,0,-0.02,0,-0.03,-0.08,-0.14,0.02,-0.02,120.800888988197,145.931591180071,158.144661883671
35:20.928,0,-0.02,0,-0.03,-0.08,-0.14,0.02,-0.02,121.248916741562,146.296776940962,158.467365061537
35:20.938,-0.01,-0.01,-0.02,0,0.14,0.14,-0.05,-0.04,121.696944494928,146.661962701848,158.790068239388
35:20.987,0,0,0.02,0.02,0.09,-0.18,0.07,0,124.010525388614,146.903754303636,158.823439181384
