time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
01:59:42.220,0,-0.02,0,0,0,0.01,-0.01,-0.01
01:59:42.757,0,0.01,0,0,0,-0.01,0,-0.01
01:59:42.880,-0.01,0,0,0,0,0,0,0
01:59:43.053,0,0,0,-0.04,-0.02,0,0,0
01:59:43.093,0,0,0,0,0,0,0,0
01:59:43.272,-0.01,-0.01,0,-0.01,-0.03,-0.01,-0.01,0
01:59:43.289,-0.01,0.01,-0.01,-0.01,0.02,0.02,-0.01,-0.01
01:59:43.348,0,-0.01,0,0.02,0.01,0,0,0
01:59:43.361,0,-0.01,0,0,0,0,0,0
01:59:43.374,0.03,0.02,0.08,0.2,0.78,-0.02,0.03,0.1
01:59:43.388,-0.02,0,0.07,0.32,0.69,-0.03,-0.27,-0.18
01:59:43.402,0.01,-0.01,-0.19,-0.29,-0.54,0.01,-0.18,0.02
01:59:43.460,0.03,0.04,0.24,-0.37,-0.52,0.13,0.62,0.02
01:59:43.471,-0.29,-0.5,-1.27,-1.09,-0.16,0.12,0.07,-0.35
01:59:43.484,0.12,0.36,0.03,-0.96,-0.33,0.56,0.57,-0.07
01:59:43.496,0.12,0.36,0.03,-0.96,-0.33,0.56,0.57,-0.07
01:59:43.511,0.36,-0.13,0.85,-0.74,-0.68,-1.18,0.18,0.14
01:59:43.576,0.99,0.96,0.47,1.27,-0.05,0.14,-0.14,-0.15
01:59:43.591,-0.78,-0.9,1.21,-0.56,0.88,-0.35,0.1,0.82
01:59:43.607,-0.63,0.96,-0.81,0.41,-0.12,0.06,0.7,0.76
01:59:43.667,0.86,-0.25,0.95,0.43,-0.16,0.51,-0.58,0.35
01:59:43.680,0.86,-0.25,0.95,0.43,-0.16,0.51,-0.58,0.35
01:59:43.694,-0.02,-1.27,1,0.5,-0.7,-0.5,-0.48,-0.66
01:59:43.712,0.74,-0.04,-0.36,-1.04,-0.37,-0.35,-0.01,-0.4
01:59:43.773,-0.95,0,-0.52,1.27,0.47,-0.02,-0.13,0.2
01:59:43.786,-0.89,0.67,0.14,-1.07,-0.01,-0.21,0.57,0.9
01:59:43.800,-0.89,0.67,0.14,-1.07,-0.01,-0.21,0.57,0.9
01:59:43.813,0.86,0.85,-0.02,-0.33,0.29,0.01,0.08,0.73
01:59:43.871,0.11,-1.27,-0.02,-0.13,-0.54,0.21,0.64,0.25
01:59:43.885,0.39,0.32,0.03,0.2,-0.28,-0.15,-0.11,0.91
01:59:43.898,0.71,-0.03,0.01,1.23,-0.02,-0.42,-0.71,-0.96
01:59:43.911,0.18,-0.64,0.02,-0.16,-0.2,0.1,1.26,0.77
01:59:43.968,-0.17,0.58,0.02,0.76,0.91,0.28,0.7,-0.13
01:59:43.979,0.02,1,0,-1.27,-0.55,0.28,0.37,0.1
01:59:43.991,-0.27,-0.48,-0.08,0.96,-0.77,-0.24,-0.37,-0.12
01:59:44.004,1.27,0.14,-0.07,-0.1,-0.52,0.06,0,0.58
01:59:44.017,-0.85,-0.19,0.02,0.72,0.46,0.43,0.97,-0.38
01:59:44.068,-0.63,0.45,-0.01,-0.78,-0.69,-0.23,-0.32,-0.1
01:59:44.082,0.18,-0.76,0,-0.02,0.12,-0.2,0.1,-0.64
